Hour,Occurrence Day Of Week,Incidents,Area Unit,Date,Number of Victimisations,Latitude,Longitude
4:00 pm,Tue,Theft,Royal Oak,2023-01-31,1,-36.90998949,174.7745561
1:00 am,Tue,Burglary,Mt Wellington South,2023-01-31,1,-36.91797272,174.8449859
6:00 am,Tue,Theft,Dingwall,2023-01-31,1,-36.96607834,174.8637728
2:00 pm,Tue,Theft,Blockhouse Bay,2023-01-31,1,-36.92592048,174.7044306
6:00 am,Tue,Burglary,Parnell West,2023-01-31,1,-36.8521888,174.7788781
8:00 am,Tue,Theft,Surrey Crescent,2023-01-31,1,-36.86809736,174.7286649
2:00 pm,Tue,Theft,Sandringham West,2023-01-31,1,-36.88537911,174.731718
8:00 pm,Tue,Theft,Newmarket,2023-01-31,1,-36.86801922,174.7744191
12:00 pm,Tue,Theft,Rongomai,2023-01-31,1,-36.97569747,174.8962909
6:00 pm,Tue,Theft,Point Chevalier East,2023-01-31,1,-36.86854132,174.7123863
4:00 pm,Tue,Theft,Roberton,2023-01-31,1,-36.89195245,174.6969147
3:00 pm,Tue,Theft,Auckland Harbourside,2023-01-31,1,-36.84891043,174.775369
10:00 pm,Tue,Burglary,Glen Innes North,2023-01-31,1,-36.86453587,174.8775489
9:00 am,Tue,Burglary,Leabank,2023-01-31,1,-37.02682408,174.891256
2:00 pm,Tue,Theft,Auckland Central East,2023-01-31,1,-36.84989702,174.7653039
11:00 am,Tue,Theft,Albany,2023-01-31,1,-36.72363854,174.7089796
8:00 pm,Tue,Theft,Papatoetoe Central,2023-01-31,1,-36.98021142,174.8537365
3:00 pm,Tue,Battery,Auckland Harbourside,2023-01-31,1,-36.84470031,174.7697223
5:00 pm,Tue,Theft,Wakeling,2023-01-31,1,-36.86273321,174.647489
7:00 pm,Tue,Theft,Manukau Central,2023-01-31,1,-36.99121216,174.8743641
2:00 pm,Tue,Theft,Highbrook,2023-01-31,1,-36.9287516,174.8906098
6:00 pm,Tue,Battery,Panmure Basin,2023-01-31,1,-36.90890812,174.844015
12:00 am,Tue,Burglary,Target Road,2023-01-31,1,-36.7675338,174.721034
3:00 am,Tue,Theft,Tuff Crater,2023-01-31,1,-36.80131648,174.7571291
2:00 pm,Tue,Robbery,Auckland Central East,2023-01-31,1,-36.84540178,174.7669995
3:00 am,Tue,Burglary,Auckland Central West,2023-01-31,1,-36.85251257,174.7571203
